Sym,Name,1/2/2009 (Open),Last,Change,Percent,High,Low,Volume,Time,,
A,Agilent Technologies,15.6,45.48,1.06,2.39%,45.55,44.86,1838100,"Friday, July 8, 2016",,191.54%
AA,Alcoa Inc,11.36,9.82,0.48,5.14%,9.88,9.44,25923500,"Friday, July 8, 2016",,-13.56%
AAL,American Airlines Gp,7.73,30.04,0.64,2.18%,30.28,29.7,13659101,"Friday, July 8, 2016",,288.62%
AAP,Advance Auto Parts Inc,33.86,164.85,3.72,2.31%,165.26,161.68,911100,"Friday, July 8, 2016",,386.86%
AAPL,Apple Inc,85.88,96.68,0.74,0.77%,96.89,96.05,28910500,"Friday, July 8, 2016",,12.58%
ABBV,Abbvie Inc Common Stock,,64.16,0.73,1.15%,64.48,62.74,7921700,"Friday, July 8, 2016",,#DIV/0!
ABC,Amerisourcebergen Corp,36,81.92,0.93,1.15%,82.08,81.25,1597400,"Friday, July 8, 2016",,127.56%
ABT,Abbott Laboratories,53.53,41.89,0.53,1.28%,42.27,41.56,11071700,"Friday, July 8, 2016",,-21.74%
ACN,Accenture Plc,32.54,115.11,2.41,2.14%,115.24,113.17,1962800,"Friday, July 8, 2016",,253.75%
ADBE,Adobe Systems Inc,21.11,96.79,1.65,1.73%,96.86,95.34,2023800,"Friday, July 8, 2016",,358.50%
ADI,Analog Devices Cmn,19,57.74,1.79,3.20%,57.79,56.43,2287000,"Friday, July 8, 2016",,203.89%
ADM,Archer Daniels Midland Company,28.93,43.48,1.36,3.23%,43.51,42.51,3348200,"Friday, July 8, 2016",,50.29%
ADP,Automatic Data Procs,39.62,94.47,0.97,1.04%,94.59,93.64,2148100,"Friday, July 8, 2016",,138.44%
ADS,Alliance Data Systems Corp,46.38,200.96,3.73,1.89%,203.13,198.83,882500,"Friday, July 8, 2016",,333.29%
ADSK,Autodesk Inc,19.55,55.14,1.61,3.01%,55.28,53.73,1285500,"Friday, July 8, 2016",,182.05%
AEE,Ameren Corp,33.34,53.15,0.5,0.95%,53.18,51.98,1782700,"Friday, July 8, 2016",,59.42%
AEP,American Electric Power Company,33.49,70.71,0.43,0.61%,70.81,69.45,2690500,"Friday, July 8, 2016",,111.14%
AES,The Aes Corp,8.24,12.32,0.22,1.82%,12.32,12.03,4182400,"Friday, July 8, 2016",,49.51%
